patent_tipi,tanim,yil,patent_sayisi
MGE,Micro-organism and genetic engineering,1990,0
MGE,Micro-organism and genetic engineering,1991,0
MGE,Micro-organism and genetic engineering,1993,0
MGE,Micro-organism and genetic engineering,1994,0
MGE,Micro-organism and genetic engineering,1996,0
MGE,Micro-organism and genetic engineering,1998,0
MGE,Micro-organism and genetic engineering,2000,0
MGE,Micro-organism and genetic engineering,2001,0
MGE,Micro-organism and genetic engineering,2002,0
MGE,Micro-organism and genetic engineering,2003,3
MGE,Micro-organism and genetic engineering,2004,1
MGE,Micro-organism and genetic engineering,2005,0
MGE,Micro-organism and genetic engineering,2006,0
MGE,Micro-organism and genetic engineering,2007,1
MGE,Micro-organism and genetic engineering,2008,0
MGE,Micro-organism and genetic engineering,2009,0
MGE,Micro-organism and genetic engineering,2010,2
MGE,Micro-organism and genetic engineering,2011,1
MGE,Micro-organism and genetic engineering,2012,1
MGE,Micro-organism and genetic engineering,2013,2
