bolge,ad,yil,ht_istihdam_bin
TR10,İstanbul,2025,14.1
TR21,"Tekirdağ, Edirne, Kırklareli",2025,44.3
TR22,"Balıkesir, Çanakkale",2022,72.6
TR31,İzmir,2022,16.0
TR32,"Aydın, Denizli, Muğla",2025,4.8
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",2025,13.8
TR41,"Bursa, Eskişehir, Bilecik",2016,17.5
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",2022,11.6
TR51,Ankara,2021,4.6
TR52,"Konya, Karaman",2025,9.4
TR61,"Antalya, Isparta, Burdur",2025,9.7
TR62,"Adana, Mersin",2025,6.5
TR63,"Hatay, Kahramanmaraş, Osmaniye",2025,7.9
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",2025,8.8
TR72,"Kayseri, Sivas, Yozgat",2022,7.5
TR81,"Zonguldak, Karabük, Bartın",2025,15.3
TR82,"Kastamonu, Çankırı, Sinop",2025,12.5
TR83,"Samsun, Tokat, Çorum, Amasya",2025,14.0
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",2025,15.7
TRA1,"Erzurum, Erzincan, Bayburt",2022,14.0
TRA2,"Ağrı, Kars, Iğdır, Ardahan",2025,12.0
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",2025,2.1
TRB2,"Van, Muş, Bitlis, Hakkari",2021,7.8
TRC1,"Gaziantep, Adıyaman, Kilis",2016,2.0
TRC2,"Şanlıurfa, Diyarbakır",2020,2.0
TRC3,"Mardin, Batman, Şırnak, Siirt",2019,2.7
