yil,arge_gdp_pct,arastirmaci_per_million,patent_sayisi,hightech_ihracat_usd
2024,,,,9903861226
2023,1.4222,2644.6573,,8461609431
2022,1.3234,2478.6763,,6906506415
2021,1.4021,2209.6991,8234,5715371245
2020,1.3675,1964.6567,7920,4172760165
2019,1.3196,1737.5762,7871,4280255330
2018,1.2709,1585.0833,7156,3735743019
2017,1.1763,1420.5957,8175,4069123083
2016,1.1198,1263.789,6230,3421690692
2015,0.9673,1136.1803,5352,3872189201
2014,0.8564,1163.5369,4766,4293034117
2013,0.8121,1175.9016,4392,3782775017
2012,0.8259,1100.1861,4434,2327323000
2011,0.7939,977.263,3885,2202177883
2010,0.7937,882.5042,3180,1943401874
2009,0.8036,801.9524,2555,
2008,,,2221,
2007,,,1810,
